Key,Value
Acquaintance,73959
Babysittee,731
Boyfriend/Girlfriend,50167
Child of Boyfriend/Girlfriend,1928
Child,13259
Employee,802
Employer,387
Friend,14423
Grandchild,1206
Grandparent,885
Homosexual Relationship,1531
In-Law,1619
Neighbor,6422
Other Family Member,13253
Otherwise Known,43432
Parent,7740
Relationship Unknown,139199
Sibling,9036
Stepchild,2470
Spouse,15311
Stepparent,1456
Stepsibling,783
Stranger,114161
Offender,8768
Ex Spouse,2860
Common Law Spouse,1732
