Geo_ID,Geographic Area Name,Year,Estimate HOUSING OCCUPANCY Total housing units,Estimate HOUSING OCCUPANCY Occupied housing units,Estimate HOUSING OCCUPANCY Vacant housing units,Estimate YEAR STRUCTURE BUILT Total housing units,Estimate YEAR STRUCTURE BUILT Built 2005 or later,Estimate YEAR STRUCTURE BUILT Built 2000 to 2004,Estimate YEAR STRUCTURE BUILT Built 1990 to 1999,Estimate YEAR STRUCTURE BUILT Built 1980 to 1989,Estimate YEAR STRUCTURE BUILT Built 1970 to 1979,Estimate YEAR STRUCTURE BUILT Built 1960 to 1969,Estimate YEAR STRUCTURE BUILT Built 1950 to 1959,Estimate YEAR STRUCTURE BUILT Built 1940 to 1949,Estimate YEAR STRUCTURE BUILT Built 1939 or earlier,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2005 or later,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2004,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1980 to 1989,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1970 to 1979,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1969 or earlier,Estimate VALUE Owner-occupied units,"Estimate VALUE Less than $50,000","Estimate VALUE $50,000 to $99,999","Estimate VALUE $100,000 to $149,999","Estimate VALUE $150,000 to $199,999","Estimate VALUE $200,000 to $299,999","Estimate VALUE $300,000 to $499,999","Estimate VALUE $500,000 to $999,999","Estimate VALUE $1,000,000 or more",Estimate VALUE Median (dollars),State
29000,"Garland city, Texas",2012,77163,72355,4808,77163,131,7478,9818,18559,19442,10683,9550,1242,260,72355,17895,30340,13240,5242,3918,1720,47246,1294,17392,17181,5643,4757,912,67,0,111700,Texas
30464,"Grand Prairie city, Texas",2012,60042,55558,4484,60042,1083,18585,9407,10148,7743,5300,4561,3070,145,55558,17244,23496,8128,4294,1733,663,35817,2577,9008,11805,6890,4484,824,80,149,127500,Texas
32372,"Harlingen city, Texas",2012,25430,21585,3845,25430,286,3223,4643,5277,4210,1855,2892,2021,1023,21585,7649,7472,2843,1452,1273,896,12277,3128,5083,2190,943,652,161,120,0,75000,Texas
35000,"Houston city, Texas",2012,911259,780364,130895,911259,13009,145332,89987,121309,222487,131515,100518,45613,41489,780364,321315,268449,89449,40399,34560,26192,343902,25598,99442,72541,42546,42037,35178,18955,7605,124600,Texas
37000,"Irving city, Texas",2012,94049,85392,8657,94049,977,15666,14318,23406,13978,12894,11166,1180,464,85392,40166,29749,7499,2973,2957,2048,30555,1287,7439,7767,4740,4723,4009,553,37,139200,Texas
39148,"Killeen city, Texas",2012,55969,45455,10514,55969,2202,15764,9408,11324,9704,4866,2480,53,168,45455,22309,13994,5415,2320,727,690,22813,1545,7563,6979,4434,1983,215,35,59,114300,Texas
41464,"Laredo city, Texas",2012,70236,65445,4791,70236,1356,18391,17064,9906,8771,4667,4942,1593,3546,65445,17861,28716,10045,4109,2774,1940,40628,3511,14119,11493,6926,2957,1268,261,93,109800,Texas
41980,"League City city, Texas",2012,34972,33657,1315,34972,935,13694,8321,6498,3364,1235,308,37,580,33657,11284,17473,3365,624,640,271,24755,892,1782,7333,7020,5497,1855,376,0,161800,Texas
42508,"Lewisville city, Texas",2012,43255,40185,3070,43255,1093,10049,13317,11211,4875,1424,791,313,182,40185,18505,15420,4425,1004,725,106,17004,944,1638,4917,6395,2933,147,0,30,156400,Texas
43888,"Longview city, Texas",2012,32266,28492,3774,32266,333,2848,4479,6845,8461,3730,3574,1647,349,28492,10096,9387,3981,2905,1249,874,15936,2336,4404,3680,2660,1767,877,106,106,114500,Texas
45000,"Lubbock city, Texas",2012,98805,89527,9278,98805,1215,16174,12851,13614,19236,13298,13858,4621,3938,89527,37507,29708,10407,5537,4055,2313,47129,5923,15107,13163,5473,4810,2170,415,68,108600,Texas
45384,"McAllen city, Texas",2012,47697,40960,6737,47697,990,13845,8725,9269,7840,2639,3315,298,776,40960,12866,17714,5544,2598,1565,673,24155,2042,7861,7536,3428,1687,1045,233,323,114800,Texas
45744,"McKinney city, Texas",2012,48806,46795,2011,48806,2756,25442,11199,3266,2768,857,911,658,949,46795,15810,24434,5200,610,509,232,32109,588,1193,6034,9007,9423,4458,1264,142,194900,Texas
47892,"Mesquite city, Texas",2012,50364,46550,3814,50364,476,6106,9662,13304,9372,6031,4629,545,239,46550,16354,15799,7269,3564,2143,1421,27112,1630,10715,9638,3342,1609,58,34,86,105400,Texas
48072,"Midland city, Texas",2012,44769,41586,3183,44769,572,5472,3949,9848,9300,5037,8362,1702,527,41586,15038,15045,6587,2590,1288,1038,25991,2983,4852,4065,5541,5274,2652,624,0,158900,Texas
48768,"Mission city, Texas",2012,28767,23850,4917,28767,195,11610,4547,5882,3758,1131,1030,0,614,23850,6723,11124,3039,1625,1051,288,16905,2905,6907,2706,1819,1834,462,272,0,90700,Texas
48804,"Missouri City city, Texas",2012,24953,23964,989,24953,725,6099,4832,4440,7452,983,64,52,306,23964,4203,11305,4562,2761,1001,132,20662,248,3659,4153,5448,5375,1406,198,175,163000,Texas
52356,"North Richland Hills city, Texas",2012,25830,25198,632,25830,353,3150,4240,6870,4832,2639,3122,355,269,25198,6687,11497,3530,1761,1167,556,16142,403,2888,5774,3292,1966,1731,88,0,140300,Texas
53388,"Odessa city, Texas",2012,40914,37392,3522,40914,436,3177,940,6597,5779,6407,14089,2189,1300,37392,11248,13924,5137,2798,2191,2094,24946,3747,7772,6129,3461,2460,1019,358,0,106400,Texas
56000,"Pasadena city, Texas",2012,54585,48836,5749,54585,209,8604,5000,6283,13566,8154,9047,2987,735,48836,16342,18451,7738,2956,1902,1447,26296,3347,9638,5948,3863,2512,832,115,41,101000,Texas
56348,"Pearland city, Texas",2012,35359,33106,2253,35359,1426,15869,6636,4533,4592,2091,212,0,0,33106,8538,17522,4651,1113,777,505,24948,277,641,6247,9168,7304,1129,182,0,176600,Texas
57200,"Pharr city, Texas",2012,24268,21913,2355,24268,601,11064,4552,2424,2956,749,1147,625,150,21913,5447,10730,2276,1083,1806,571,12411,3547,5989,1636,877,274,88,0,0,73800,Texas
58016,"Plano city, Texas",2012,105489,99867,5622,105489,1345,16146,35738,27206,18947,4254,1052,303,498,99867,30201,43191,19031,4697,2453,294,64014,662,2656,10642,15068,19607,11095,3293,991,212600,Texas
61796,"Richardson city, Texas",2012,42111,39317,2794,42111,669,5629,6193,6114,10822,7399,3944,560,781,39317,13444,13362,6270,2920,2060,1261,24416,207,1490,4785,8296,6367,2995,276,0,184700,Texas
63500,"Round Rock city, Texas",2012,36067,33621,2446,36067,289,15295,7798,7465,4083,712,237,87,101,33621,12714,15872,3368,1326,313,28,19391,154,854,6252,5112,4186,2676,157,0,167600,Texas
64472,"San Angelo city, Texas",2012,39757,36636,3121,39757,570,3571,2638,7473,8800,5022,6186,2345,3152,36636,14346,11846,4757,2432,2049,1206,20265,3604,6269,4678,3559,1366,654,135,0,102900,Texas
65000,"San Antonio city, Texas",2012,534347,480693,53654,534347,5758,95599,65489,96782,93581,59492,56453,30254,30939,480693,165968,171367,65837,32711,23963,20847,264368,28358,87317,59606,40710,30300,12574,4634,869,112300,Texas
70808,"Sugar Land city, Texas",2012,27712,25762,1950,27712,986,6481,7109,8245,3872,726,174,0,119,25762,5693,11950,5367,2224,248,280,21478,43,316,2889,2966,6129,6810,1879,446,271400,Texas
72176,"Temple city, Texas",2012,31231,24500,6731,31231,385,6698,3437,3832,6878,2758,3723,2256,1264,24500,7571,9320,3955,1148,1646,860,14197,811,4294,5098,2413,948,583,50,0,118100,Texas
72656,"The Woodlands CDP, Texas",2012,40698,37645,3053,40698,962,16745,10941,7969,3834,25,140,82,0,37645,10486,19974,5390,1553,242,0,28682,294,1089,3615,3746,6562,8857,4083,436,280200,Texas
74144,"Tyler city, Texas",2012,42683,38250,4433,42683,402,7060,3883,6466,8166,5486,6110,3175,1935,38250,14798,14268,4204,1667,2204,1109,20101,1678,5754,4652,2986,2355,1881,795,0,125000,Texas
76000,"Waco city, Texas",2012,52341,45254,7087,52341,268,8803,3988,6361,9632,6391,9287,4209,3402,45254,18266,16583,4888,2263,1410,1844,22084,4729,7543,4292,2826,1809,885,0,0,89700,Texas
79000,"Wichita Falls city, Texas",2012,43071,37538,5533,43071,243,4301,2976,5567,7343,6998,7444,1769,6430,37538,12367,14514,4422,2908,1906,1421,20894,4020,7485,3969,3500,1248,421,237,14,93500,Texas
1,United States,2013,132808137,116291033,16517104,132808137,1942156,19736330,18669866,18270879,20934801,14523532,14309994,7005330,17415249,116291033,38743337,40396668,18144123,8767228,5840431,4399246,73843861,7460862,11528358,11684610,11051448,13228396,11362403,5969759,1558025,173900,Texas
1000,"Abilene city, Texas",2013,48040,42519,5521,48040,1427,5009,3821,6811,5839,6075,11908,3661,3489,42519,19585,11238,5728,2676,1875,1417,23982,4473,9028,4967,2534,1733,1148,99,0,89700,Texas
1924,"Allen city, Texas",2013,30693,30231,462,30693,1607,12912,8886,3590,2113,584,630,140,231,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23228,492,1446,3123,6208,6356,4480,1123,0,204400,Texas
3000,"Amarillo city, Texas",2013,82972,75280,7692,82972,2571,9689,6783,10511,13110,13018,14556,5900,6834,75280,31460,23964,10538,4687,2888,1743,45199,5655,12060,12402,7367,5204,1603,574,334,118800,Texas
4000,"Arlington city, Texas",2013,146783,135015,11768,146783,2306,20769,23298,43696,31760,14594,8098,1779,483,135015,55177,46863,20715,6271,4552,1437,76612,4352,15926,28219,15830,8741,2812,489,243,129400,Texas
4462,"Atascocita CDP, Texas",2013,19826,19463,363,19826,1897,7692,4895,2513,2664,0,74,91,0,19463,6141,9463,2315,1373,171,0,15598,313,2356,4908,4206,2534,1082,199,0,152100,Texas
5000,"Austin city, Texas",2013,375441,349200,26241,375441,8605,81499,64580,79068,69484,30672,20631,9192,11710,349200,185134,101211,33745,15497,8756,4857,157643,7037,8380,20529,26432,39959,36711,15025,3570,234800,Texas
6128,"Baytown city, Texas",2013,28921,25976,2945,28921,469,5057,2309,3847,5776,3216,3762,2378,2107,25976,9129,9146,3402,1057,1528,1714,15886,2792,6127,3380,2270,963,247,0,107,92800,Texas
7000,"Beaumont city, Texas",2013,53756,44792,8964,53756,2894,5662,5618,5010,10832,8966,8373,3860,2541,44792,16983,15288,5736,2228,2595,1962,26735,5580,7898,6122,2723,2383,1766,201,62,99300,Texas
10768,"Brownsville city, Texas",2013,54965,49682,5283,54965,1273,14427,10179,10705,8419,4836,3197,865,1064,49682,15075,19518,7971,4070,1443,1605,31040,6104,12774,5980,2737,1924,1378,40,103,85400,Texas
10912,"Bryan city, Texas",2013,31484,28363,3121,31484,1079,5645,4119,6463,6436,3353,2693,524,1172,28363,15197,8317,2581,1823,220,225,12932,2217,3048,3548,2641,1112,131,235,0,113800,Texas
13024,"Carrollton city, Texas",2013,47744,46179,1565,47744,1551,4381,10432,16352,10067,3781,945,38,197,46179,17804,16262,7272,2819,1649,373,27926,561,2473,7765,8378,6974,1632,143,0,167600,Texas
15976,"College Station city, Texas",2013,40615,35021,5594,40615,1232,12592,7828,8010,7532,2062,426,302,631,35021,23868,7462,2552,574,351,214,11510,459,506,2930,3272,2242,1712,346,43,174900,Texas
17000,"Corpus Christi city, Texas",2013,127153,115854,11299,127153,2423,15357,12433,23081,21910,16766,24679,7508,2996,115854,47470,36197,14080,6310,6944,4853,65341,8229,20737,16108,10073,6422,2442,874,456,110700,Texas
19000,"Dallas city, Texas",2013,530492,476733,53759,530492,9130,62771,52996,97922,94251,77277,70852,32688,32605,476733,238727,137021,50622,21791,16706,11866,201168,21492,59362,29983,15783,27232,26514,14994,5808,127000,Texas
19972,"Denton city, Texas",2013,47888,43673,4215,47888,1005,15129,7701,9645,5248,4856,2538,1240,526,43673,23042,15678,2976,1013,608,356,20845,1763,2533,5730,5176,3545,1625,441,32,153100,Texas
22660,"Edinburg city, Texas",2013,25036,23344,1692,25036,1109,8843,5554,3219,3012,1378,577,862,482,23344,8607,8856,3653,1400,462,366,13311,1591,4929,3795,1667,993,190,78,68,101500,Texas
24000,"El Paso city, Texas",2013,239557,219332,20225,239557,9226,41393,30027,35821,41654,32682,28426,9209,11119,219332,75770,72734,32288,17394,11759,9387,129187,9450,38115,43382,19184,11696,5104,1849,407,116500,Texas
26232,"Flower Mound town, Texas",2013,23923,23504,419,23923,487,5443,12490,3699,1032,352,373,0,47,23504,5452,11722,5261,712,281,76,20580,517,180,1375,3708,7310,5509,1930,51,265300,Texas
27000,"Fort Worth city, Texas",2013,295503,269433,26070,295503,7500,80776,35508,43231,32187,25595,34449,16608,19649,269433,118909,93151,28459,12397,9090,7427,152906,15875,41605,41822,24668,15576,8647,3573,1140,120100,Texas
27684,"Frisco city, Texas",2013,46977,45378,1599,46977,3505,28737,10193,2285,656,586,781,39,195,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32642,758,394,954,4952,11791,9797,3404,592,278400,Texas
29000,"Garland city, Texas",2013,82781,77958,4823,82781,1008,7801,10411,18091,24089,12815,5775,2508,283,77958,28875,27808,10454,5112,4247,1462,45974,1945,15712,16042,5897,4850,1044,412,72,112200,Texas
30464,"Grand Prairie city, Texas",2013,64749,59638,5111,64749,710,17961,9697,13793,9539,4911,4033,3412,693,59638,21771,23665,8120,2841,1911,1330,37103,2669,8431,12941,7875,4298,848,41,0,125100,Texas
32372,"Harlingen city, Texas",2013,24978,20298,4680,24978,1027,3094,3790,4347,4367,2870,3442,1215,826,20298,5592,6676,3173,1750,1561,1546,13618,2346,6201,2061,1138,1133,416,323,0,86900,Texas
35000,"Houston city, Texas",2013,926019,815266,110753,926019,19557,142551,93255,122133,222551,137135,104030,45138,39669,815266,397723,235749,86062,39142,32381,24209,350611,31612,100759,69442,37830,42110,39429,22467,6962,125700,Texas
37000,"Irving city, Texas",2013,87865,82361,5504,87865,2128,12893,15559,22703,12116,12100,8031,1448,887,82361,44587,24059,7554,3071,1935,1155,29604,2202,6758,7761,4297,3715,3931,803,137,131200,Texas
39148,"Killeen city, Texas",2013,60380,43523,16857,60380,3846,17878,11808,9533,9270,5411,1966,410,258,43523,23043,12995,4517,1636,1119,213,20587,1200,5170,7088,4640,2080,297,56,56,125100,Texas
41464,"Laredo city, Texas",2013,71763,65685,6078,71763,2488,17174,16801,11114,10877,4904,3613,3095,1697,65685,21394,24909,9517,4789,2516,2560,42508,5530,13036,11756,6524,3793,1336,533,0,110300,Texas
41980,"League City city, Texas",2013,35945,34347,1598,35945,1938,17324,7825,4567,2956,790,402,0,143,34347,13451,15392,3458,1213,634,199,23058,180,699,5603,7014,5935,2428,1199,0,185100,Texas
42508,"Lewisville city, Texas",2013,40146,36845,3301,40146,1202,7875,13513,10714,4777,1313,549,73,130,36845,20073,12100,3714,551,288,119,15726,1422,1238,4577,5672,2414,373,0,30,154400,Texas
43888,"Longview city, Texas",2013,33572,30842,2730,33572,1071,3253,2430,5256,10838,6134,3273,785,532,30842,13701,10081,2338,1884,2100,738,16110,2378,3208,4110,3774,1449,709,443,39,127800,Texas
45000,"Lubbock city, Texas",2013,99544,88815,10729,99544,3178,15671,10389,15597,19475,15414,12321,4854,2645,88815,41427,26495,8878,6021,3634,2360,48958,7035,15858,11787,6494,4245,2918,621,0,106400,Texas
45384,"McAllen city, Texas",2013,47365,41352,6013,47365,1458,13296,7756,9844,7630,3116,2191,661,1413,41352,15383,14209,6444,3075,1673,568,24773,2107,7871,7163,3370,2937,798,397,130,114700,Texas
45744,"McKinney city, Texas",2013,50565,48717,1848,50565,4540,25202,11230,4624,1337,1006,1056,764,806,48717,21030,22563,4297,543,73,211,31944,1477,850,4974,9342,7452,6713,1078,58,196400,Texas
47892,"Mesquite city, Texas",2013,51362,47649,3713,51362,86,7543,7962,14203,10418,6267,4136,525,222,47649,18836,17373,5662,2768,1735,1275,26767,1685,9680,10515,3286,1377,0,135,89,108600,Texas
48072,"Midland city, Texas",2013,46423,43231,3192,46423,1783,5279,6300,10040,6738,6018,7754,1460,1051,43231,20174,13760,4324,2300,1515,1158,25944,2059,3810,4724,6017,4465,3643,1031,195,168100,Texas
48768,"Mission city, Texas",2013,31007,25009,5998,31007,1088,11626,6949,2887,5175,1189,1222,506,365,25009,9242,10464,3563,835,599,306,16926,3719,5858,2636,1949,1825,691,248,0,88700,Texas
48804,"Missouri City city, Texas",2013,23120,22219,901,23120,995,5475,3886,4259,7554,707,74,0,170,22219,4831,9634,4889,1371,1494,0,17597,425,2808,4294,3948,4267,1443,412,0,164100,Texas
52356,"North Richland Hills city, Texas",2013,27814,26333,1481,27814,541,5201,4093,7919,6420,1534,1628,233,245,26333,11113,8741,3251,1674,910,644,15200,409,2499,3769,4180,2544,1701,98,0,158400,Texas
53388,"Odessa city, Texas",2013,40719,38870,1849,40719,1103,3369,2477,5801,5345,5450,12887,3556,731,38870,15776,11544,5340,2566,1377,2267,22843,3466,7246,5321,3976,2030,507,149,148,105400,Texas
56000,"Pasadena city, Texas",2013,50549,45715,4834,50549,901,6920,7356,4919,11637,7382,8328,2482,624,45715,18234,16469,6206,1887,1679,1240,24865,3363,9543,4739,3737,2795,657,31,0,98100,Texas
56348,"Pearland city, Texas",2013,36087,35067,1020,36087,2728,17262,6411,3097,4040,1231,1244,0,74,35067,11086,17866,4750,710,275,380,26706,1284,528,5421,8754,7917,2760,0,42,180200,Texas
57200,"Pharr city, Texas",2013,22935,19788,3147,22935,923,7268,3641,4290,3988,755,971,641,458,19788,6128,8955,2120,1366,663,556,11494,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,73700,Texas
58016,"Plano city, Texas",2013,110660,105977,4683,110660,2134,18155,37696,29541,16834,3999,1224,657,420,105977,41953,37628,17873,5283,2763,477,63109,1764,2391,8953,12689,18075,14368,4026,843,226500,Texas
61796,"Richardson city, Texas",2013,40039,38324,1715,40039,1072,4718,7236,5640,11237,6574,3378,119,65,38324,15775,11574,4778,2265,2643,1289,23244,624,1054,4110,6103,7850,2924,335,244,197800,Texas
63500,"Round Rock city, Texas",2013,39797,37153,2644,39797,1290,15259,10331,9413,3011,221,253,19,0,37153,15271,15629,4722,973,337,221,23448,397,801,7095,6330,6103,2335,387,0,170800,Texas
64472,"San Angelo city, Texas",2013,41231,37998,3233,41231,987,2697,4080,6750,9081,4688,6621,4617,1710,37998,15835,10939,5536,2554,1709,1425,22907,3572,6601,5809,3035,2654,664,429,143,109000,Texas
65000,"San Antonio city, Texas",2013,538533,493102,45431,538533,11593,96406,73640,93497,91497,59540,54783,27752,29825,493102,205172,149478,64190,32054,23873,18335,262256,27725,83375,60521,40562,29168,14823,5301,781,115600,Texas
70808,"Sugar Land city, Texas",2013,28830,27493,1337,28830,948,5806,6782,9517,4564,708,140,40,325,27493,7069,10302,6117,3163,524,318,22349,612,291,3303,3078,6119,6323,2501,122,265300,Texas
72176,"Temple city, Texas",2013,26712,23926,2786,26712,1912,5446,3332,4399,3647,3238,2487,1274,977,23926,10175,8411,2759,1008,845,728,13885,969,3464,4613,2226,1899,491,186,37,122400,Texas
72656,"The Woodlands CDP, Texas",2013,39714,36186,3528,39714,2184,13393,12874,7186,3787,69,43,0,178,36186,13950,13220,6011,2272,733,0,26417,461,106,2091,3713,5196,10392,3894,564,328400,Texas
74144,"Tyler city, Texas",2013,42745,38261,4484,42745,1113,7715,4815,6002,7304,5512,5986,2204,2094,38261,15936,11580,5364,2474,1144,1763,21017,2131,5622,4911,3517,2622,1647,496,71,127300,Texas
75428,"Victoria city, Texas",2013,26144,23729,2415,26144,82,2165,3835,4138,6072,2833,4583,1483,953,23729,9133,7866,3297,1140,1286,1007,14694,1744,3874,4210,2848,1085,691,242,0,115800,Texas
76000,"Waco city, Texas",2013,51711,46626,5085,51711,1339,5572,5347,6771,10303,7031,8286,3948,3114,46626,24009,13451,3635,2260,1358,1913,20727,3304,8057,3866,2890,1493,814,303,0,91000,Texas
79000,"Wichita Falls city, Texas",2013,44016,38748,5268,44016,343,4047,4793,4299,7903,7604,6551,2234,6242,38748,16809,11721,5171,2300,1471,1276,22022,5208,7155,4180,1830,2663,986,0,0,89500,Texas
1,United States,2014,133962970,117259427,16703543,133962970,2723663,19599180,18770589,18346964,20974330,14741022,14243850,7029981,17533391,117259427,45069381,36624354,17383494,8447356,5616819,4118023,73991995,7252803,10984718,11238389,10866782,13431171,11936757,6510385,1770990,181200,Texas
1000,"Abilene city, Texas",2014,47610,41710,5900,47610,1357,4088,4641,7432,8150,5465,9754,3629,3094,41710,21573,9625,5450,2207,1592,1263,21966,3522,7176,4562,3834,2247,570,55,0,103000,Texas
1924,"Allen city, Texas",2014,31274,30341,933,31274,3513,12088,8690,4036,1955,581,74,0,337,30341,12553,13313,3526,617,202,130,23515,344,683,2512,4951,6881,6932,1032,180,233700,Texas
3000,"Amarillo city, Texas",2014,83800,74709,9091,83800,2969,9576,6471,10125,12788,13942,13989,6826,7114,74709,32905,21240,10727,4436,3340,2061,45807,5755,13388,10132,8055,5796,1934,666,81,116300,Texas
4000,"Arlington city, Texas",2014,148731,135093,13638,148731,1722,20692,22988,44854,32373,15230,8017,1441,1414,135093,67226,38031,17318,7044,3472,2002,72842,3797,17868,21116,16139,10345,2924,525,128,133500,Texas
